iteration,point_index,petal_length,petal_width,assigned_cluster,distance_to_center_0,distance_to_center_1,distance_to_center_2
1,0,1.4,0.2,2,4.701063709417264,3.54682957019364,0.1414213562373094
1,1,1.4,0.2,2,4.701063709417264,3.54682957019364,0.1414213562373094
1,2,1.3,0.2,2,4.792702786528704,3.6400549446402595,0.09999999999999998
1,3,1.5,0.2,2,4.6097722286464435,3.453983207834109,0.2236067977499789
1,4,1.4,0.2,2,4.701063709417264,3.54682957019364,0.1414213562373094
1,5,1.7,0.4,2,4.346262762420146,3.1953090617340916,0.41231056256176596
1,6,1.4,0.3,2,4.661544808322667,3.511409973215888,0.09999999999999987
1,7,1.5,0.2,2,4.6097722286464435,3.453983207834109,0.2236067977499789
1,8,1.4,0.2,2,4.701063709417264,3.54682957019364,0.1414213562373094
1,9,1.5,0.1,2,4.651881339845203,3.492849839314596,0.28284271247461895
1,10,1.5,0.2,2,4.6097722286464435,3.453983207834109,0.2236067977499789
1,11,1.6,0.2,2,4.518849411078001,3.361547262794322,0.31622776601683794
1,12,1.4,0.1,2,4.742362280551751,3.5846896657869842,0.2236067977499789
1,13,1.1,0.1,2,5.015974481593781,3.862641583165593,0.28284271247461895
1,14,1.2,0.2,2,4.884669896727925,3.7336309405188937,0.14142135623730953
1,15,1.5,0.4,2,4.531004303683677,3.3837848631377265,0.22360679774997894
1,16,1.3,0.4,2,4.7169905660283025,3.5735136770411278,0.10000000000000003
1,17,1.4,0.3,2,4.661544808322667,3.511409973215888,0.09999999999999987
1,18,1.7,0.3,2,4.386342439892262,3.2310988842807022,0.3999999999999999
1,19,1.5,0.3,2,4.5694638635183455,3.417601498127013,0.19999999999999996
1,20,1.7,0.2,2,4.428317965096905,3.269556544854363,0.41231056256176596
1,21,1.5,0.4,2,4.531004303683677,3.3837848631377265,0.22360679774997894
1,22,1.0,0.2,2,5.06951674225463,3.9217343102255158,0.31622776601683794
1,23,1.7,0.5,2,4.308131845707604,3.1622776601683795,0.44721359549995787
1,24,1.9,0.2,2,4.2485291572496005,3.0870698080866266,0.6082762530298218
1,25,1.6,0.2,2,4.518849411078001,3.361547262794322,0.31622776601683794
1,26,1.6,0.4,2,4.43846820423443,3.2893768406797057,0.316227766016838
1,27,1.5,0.2,2,4.6097722286464435,3.453983207834109,0.2236067977499789
1,28,1.4,0.2,2,4.701063709417264,3.54682957019364,0.1414213562373094
1,29,1.6,0.2,2,4.518849411078001,3.361547262794322,0.31622776601683794
1,30,1.6,0.2,2,4.518849411078001,3.361547262794322,0.31622776601683794
1,31,1.5,0.4,2,4.531004303683677,3.3837848631377265,0.22360679774997894
1,32,1.5,0.1,2,4.651881339845203,3.492849839314596,0.28284271247461895
1,33,1.4,0.2,2,4.701063709417264,3.54682957019364,0.1414213562373094
1,34,1.5,0.2,2,4.6097722286464435,3.453983207834109,0.2236067977499789
1,35,1.2,0.2,2,4.884669896727925,3.7336309405188937,0.14142135623730953
1,36,1.3,0.2,2,4.792702786528704,3.6400549446402595,0.09999999999999998
1,37,1.4,0.1,2,4.742362280551751,3.5846896657869842,0.2236067977499789
1,38,1.3,0.2,2,4.792702786528704,3.6400549446402595,0.09999999999999998
1,39,1.5,0.2,2,4.6097722286464435,3.453983207834109,0.2236067977499789
1,40,1.3,0.3,2,4.753945729601885,3.6055512754639896,0.0
1,41,1.3,0.3,2,4.753945729601885,3.6055512754639896,0.0
1,42,1.3,0.2,2,4.792702786528704,3.6400549446402595,0.09999999999999998
1,43,1.6,0.6,2,4.365775990588615,3.228002478313795,0.42426406871192857
1,44,1.9,0.4,2,4.16293165929973,3.008321791298265,0.6082762530298218
1,45,1.4,0.3,2,4.661544808322667,3.511409973215888,0.09999999999999987
1,46,1.6,0.2,2,4.518849411078001,3.361547262794322,0.31622776601683794
1,47,1.4,0.2,2,4.701063709417264,3.54682957019364,0.1414213562373094
1,48,1.5,0.2,2,4.6097722286464435,3.453983207834109,0.2236067977499789
1,49,1.4,0.2,2,4.701063709417264,3.54682957019364,0.1414213562373094
1,50,4.7,1.4,1,1.2206555615733703,0.10000000000000009,3.5735136770411278
1,51,4.5,1.5,1,1.341640786499874,0.20000000000000018,3.417601498127013
1,52,4.9,1.5,1,0.9999999999999999,0.20000000000000018,3.7947331922020555
1,53,4.0,1.3,1,1.8788294228055937,0.728010988928052,2.879236009777594
1,54,4.6,1.5,1,1.2529964086141672,0.10000000000000053,3.5114099732158874
1,55,4.5,1.3,1,1.4422205101855958,0.28284271247461906,3.3526109228480423
1,56,4.7,1.6,1,1.118033988749895,0.10000000000000009,3.6400549446402595
1,57,3.3,1.0,1,2.6400757564888173,1.4866068747318508,2.118962010041709
1,58,4.6,1.3,1,1.3601470508735447,0.22360679774997916,3.4481879299133333
1,59,3.9,1.4,1,1.931320791582797,0.8062257748298552,2.8231188426986202
1,60,3.5,1.0,1,2.459674775249769,1.3,2.3086792761230392
1,61,4.2,1.5,1,1.6155494421403513,0.5,3.1384709652950433
1,62,4.0,1.0,1,2.024845673131659,0.8602325267042628,2.7892651361962706
1,63,4.7,1.4,1,1.2206555615733703,0.10000000000000009,3.5735136770411278
1,64,3.6,1.3,1,2.247220505424423,1.118033988749895,2.5079872407968904
1,65,4.4,1.4,1,1.4764823060233399,0.31622776601683783,3.2893768406797057
1,66,4.5,1.5,1,1.341640786499874,0.20000000000000018,3.417601498127013
1,67,4.1,1.0,1,1.9416487838947605,0.7810249675906659,2.886173937932362
1,68,4.5,1.5,1,1.341640786499874,0.20000000000000018,3.417601498127013
1,69,3.9,1.1,1,2.0591260281974004,0.8944271909999161,2.7202941017470885
1,70,4.8,1.8,1,0.9486832980505141,0.31622776601683783,3.8078865529319543
1,71,4.0,1.3,1,1.8788294228055937,0.728010988928052,2.879236009777594
1,72,4.9,1.5,1,0.9999999999999999,0.20000000000000018,3.7947331922020555
1,73,4.7,1.2,1,1.3453624047073711,0.30000000000000004,3.5171010790137953
1,74,4.3,1.3,1,1.6124515496597103,0.4472135954999582,3.1622776601683795
1,75,4.4,1.4,1,1.4764823060233399,0.31622776601683783,3.2893768406797057
1,76,4.8,1.4,1,1.1401754250991385,0.1414213562373093,3.6687872655688283
1,77,5.0,1.7,1,0.8062257748298551,0.3605551275463988,3.9560080889704965
1,78,4.5,1.5,1,1.341640786499874,0.20000000000000018,3.417601498127013
1,79,3.5,1.0,1,2.459674775249769,1.3,2.3086792761230392
1,80,3.8,1.1,1,2.147091055358389,0.9848857801796107,2.6248809496813377
1,81,3.7,1.0,1,2.2825424421026654,1.118033988749895,2.5000000000000004
1,82,3.9,1.2,1,2.012461179749811,0.8544003745317533,2.7513632984395207
1,83,5.1,1.6,1,0.7810249675906659,0.41231056256176557,4.016217125604641
1,84,4.5,1.5,1,1.341640786499874,0.20000000000000018,3.417601498127013
1,85,4.5,1.6,1,1.3,0.22360679774997916,3.453983207834109
1,86,4.7,1.5,1,1.1661903789690602,0.0,3.6055512754639896
1,87,4.4,1.3,1,1.5264337522473748,0.3605551275463988,3.2572994949804666
1,88,4.1,1.3,1,1.7888543819998324,0.6324555320336763,2.973213749463701
1,89,4.0,1.3,1,1.8788294228055937,0.728010988928052,2.879236009777594
1,90,4.4,1.2,1,1.5811388300841898,0.42426406871192845,3.2280024783137953
1,91,4.6,1.4,1,1.3038404810405302,0.14142135623730995,3.478505426185217
1,92,4.0,1.2,1,1.9235384061671348,0.761577310586391,2.8460498941515415
1,93,3.3,1.0,1,2.6400757564888173,1.4866068747318508,2.118962010041709
1,94,4.2,1.3,1,1.7,0.5385164807134504,3.0675723300355937
1,95,4.2,1.2,1,1.7492855684535902,0.5830951894845301,3.0364452901377956
1,96,4.2,1.3,1,1.7,0.5385164807134504,3.0675723300355937
1,97,4.3,1.3,1,1.6124515496597103,0.4472135954999582,3.1622776601683795
1,98,3.0,1.1,1,2.879236009777594,1.7464249196572983,1.8788294228055935
1,99,4.1,1.3,1,1.7888543819998324,0.6324555320336763,2.973213749463701
1,100,6.0,2.5,0,0.49999999999999983,1.6401219466856725,5.189412298131649
1,101,5.1,1.9,1,0.6324555320336764,0.5656854249492376,4.123105625617661
1,102,5.9,2.1,0,0.20000000000000018,1.341640786499874,4.939635614091388
1,103,5.6,1.8,0,0.31622776601683816,0.9486832980505133,4.55411901469428
1,104,5.8,2.2,0,0.1414213562373093,1.3038404810405295,4.884669896727925
1,105,6.6,2.1,0,0.8999999999999995,1.992485884517127,5.597320787662611
1,106,4.5,1.7,1,1.264911064067352,0.28284271247461906,3.492849839314596
1,107,6.3,1.8,0,0.6708203932499366,1.6278820596099701,5.220153254455275
1,108,5.8,1.8,0,0.31622776601683783,1.1401754250991376,4.743416490252569
1,109,6.1,2.5,0,0.5656854249492376,1.7204650534085248,5.280151512977634
1,110,5.1,2.0,0,0.6082762530298225,0.6403124237432846,4.162931659299729
1,111,5.3,1.9,0,0.4472135954999583,0.7211102550927976,4.308131845707603
1,112,5.5,2.1,0,0.20000000000000018,0.9999999999999999,4.5694638635183455
1,113,5.0,2.0,1,0.7071067811865478,0.58309518948453,4.071854614300467
1,114,5.1,2.4,0,0.6708203932499374,0.9848857801796101,4.341658669218482
1,115,5.3,2.3,0,0.44721359549995815,0.9999999999999997,4.47213595499958
1,116,5.5,1.8,0,0.36055512754639907,0.854400374531753,4.459820624195552
1,117,6.7,2.2,0,1.004987562112089,2.118962010041709,5.724508712544685
1,118,6.9,2.3,0,1.216552506059644,2.340939982143925,5.946427498927402
1,119,5.0,1.5,1,0.9219544457292889,0.2999999999999998,3.889730067755345
1,120,5.7,2.3,0,0.19999999999999973,1.2806248474865696,4.833218389437829
1,121,4.9,2.0,1,0.8062257748298548,0.5385164807134505,3.9812058474788774
1,122,6.7,2.0,0,1.004987562112089,2.0615528128088303,5.661271941887265
1,123,4.9,1.8,1,0.854400374531753,0.36055512754639907,3.9000000000000004
1,124,5.7,2.1,0,0.0,1.1661903789690602,4.753945729601885
1,125,6.0,1.8,0,0.42426406871192845,1.3341664064126333,4.933558553417604
1,126,4.8,1.8,1,0.9486832980505141,0.31622776601683783,3.8078865529319543
1,127,4.9,1.8,1,0.854400374531753,0.36055512754639907,3.9000000000000004
1,128,5.6,2.1,0,0.10000000000000053,1.0816653826391964,4.661544808322666
1,129,5.8,1.6,0,0.5099019513592784,1.1045361017187258,4.684015371452148
1,130,6.1,1.9,0,0.44721359549995754,1.456021977856103,5.059644256269407
1,131,6.4,2.0,0,0.7071067811865478,1.7720045146669352,5.375872022286245
1,132,5.6,2.2,0,0.14142135623730995,1.1401754250991376,4.701063709417263
1,133,5.1,1.5,1,0.8485281374238575,0.39999999999999947,3.9849717690342548
1,134,5.6,1.4,0,0.7071067811865478,0.9055385138137412,4.43846820423443
1,135,6.1,2.3,0,0.4472135954999574,1.6124515496597092,5.2
1,136,5.6,2.4,0,0.31622776601683794,1.272792206135785,4.78539444560216
1,137,5.5,1.8,0,0.36055512754639907,0.854400374531753,4.459820624195552
1,138,4.8,1.8,1,0.9486832980505141,0.31622776601683783,3.8078865529319543
1,139,5.4,2.1,0,0.2999999999999998,0.9219544457292889,4.4777226354476225
1,140,5.6,2.4,0,0.31622776601683794,1.272792206135785,4.78539444560216
1,141,5.1,2.3,0,0.6324555320336763,0.8944271909999155,4.294182110716777
1,142,5.1,1.9,1,0.6324555320336764,0.5656854249492376,4.123105625617661
1,143,5.9,2.3,0,0.28284271247461895,1.4422205101855958,5.015974481593782
1,144,5.7,2.5,0,0.3999999999999999,1.4142135623730951,4.919349550499538
1,145,5.2,2.3,0,0.5385164807134504,0.9433981132056602,4.382921400162226
1,146,5.0,1.9,1,0.728010988928052,0.49999999999999983,4.031128874149275
1,147,5.2,2.0,0,0.5099019513592785,0.7071067811865476,4.254409477236529
1,148,5.4,2.3,0,0.3605551275463986,1.0630145812734648,4.561797891182818
1,149,5.1,1.8,1,0.6708203932499374,0.4999999999999996,4.085339643163099
2,0,1.4,0.2,2,4.765104008961001,3.2400169367716116,0.07720103626247529
2,1,1.4,0.2,2,4.765104008961001,3.2400169367716116,0.07720103626247529
2,2,1.3,0.2,2,4.856925954729979,3.332823090199493,0.16840427548016718
2,3,1.5,0.2,2,4.6736177317686876,3.1476514658657644,0.059665735560704994
2,4,1.4,0.2,2,4.765104008961001,3.2400169367716116,0.07720103626247529
2,5,1.7,0.4,2,4.410613734336017,2.8875917199360237,0.2834783942384321
2,6,1.4,0.3,2,4.7260062563580165,3.2035835943213646,0.08221921916437812
2,7,1.5,0.2,2,4.6736177317686876,3.1476514658657644,0.059665735560704994
2,8,1.4,0.2,2,4.765104008961001,3.2400169367716116,0.07720103626247529
2,9,1.5,0.1,2,4.715271337238587,3.1878631801457225,0.15086417732516874
2,10,1.5,0.2,2,4.6736177317686876,3.1476514658657644,0.059665735560704994
2,11,1.6,0.2,2,4.582487227389638,3.055766638761359,0.14546477236774533
2,12,1.4,0.1,2,4.805964762386141,3.2790961643917673,0.15861904047118683
2,13,1.1,0.1,2,5.080141517501045,3.5556253536232973,0.3903331910048133
2,14,1.2,0.2,2,4.949064885737833,3.426034114040153,0.26600751869073197
2,15,1.5,0.4,2,4.595708926873037,3.0754163849864438,0.15861904047118688
2,16,1.3,0.4,2,4.782004555368758,3.2646877248893325,0.22351733713517632
2,17,1.4,0.3,2,4.7260062563580165,3.2035835943213646,0.08221921916437812
2,18,1.7,0.3,2,4.450235341484153,2.924542330998987,0.2440491753725054
2,19,1.5,0.3,2,4.633748118059677,3.110136306627893,0.06603029607687666
2,20,1.7,0.2,2,4.4917341501557795,2.96440714993182,0.24240462041801075
2,21,1.5,0.4,2,4.595708926873037,3.0754163849864438,0.15861904047118688
2,22,1.0,0.2,2,5.13422538171731,3.6135453159697466,0.46428439560252305
2,23,1.7,0.5,2,4.372920355143965,2.853668522495418,0.3480804504708645
2,24,1.9,0.2,2,4.311455513935941,2.7834708100799075,0.4404089009091435
2,25,1.6,0.2,2,4.582487227389638,3.055766638761359,0.14546477236774533
2,26,1.6,0.4,2,4.503002001668111,2.9813060797313455,0.20678491240900532
2,27,1.5,0.2,2,4.6736177317686876,3.1476514658657644,0.059665735560704994
2,28,1.4,0.2,2,4.765104008961001,3.2400169367716116,0.07720103626247529
2,29,1.6,0.2,2,4.582487227389638,3.055766638761359,0.14546477236774533
2,30,1.6,0.2,2,4.582487227389638,3.055766638761359,0.14546477236774533
2,31,1.5,0.4,2,4.595708926873037,3.0754163849864438,0.15861904047118688
2,32,1.5,0.1,2,4.715271337238587,3.1878631801457225,0.15086417732516874
2,33,1.4,0.2,2,4.765104008961001,3.2400169367716116,0.07720103626247529
2,34,1.5,0.2,2,4.6736177317686876,3.1476514658657644,0.059665735560704994
2,35,1.2,0.2,2,4.949064885737833,3.426034114040153,0.26600751869073197
2,36,1.3,0.2,2,4.856925954729979,3.332823090199493,0.16840427548016718
2,37,1.4,0.1,2,4.805964762386141,3.2790961643917673,0.15861904047118683
2,38,1.3,0.2,2,4.856925954729979,3.332823090199493,0.16840427548016718
2,39,1.5,0.2,2,4.6736177317686876,3.1476514658657644,0.059665735560704994
2,40,1.3,0.3,2,4.818573300122002,3.2974153280721237,0.17076299364909264
2,41,1.3,0.3,2,4.818573300122002,3.2974153280721237,0.17076299364909264
2,42,1.3,0.2,2,4.856925954729979,3.332823090199493,0.16840427548016718
2,43,1.6,0.6,2,4.431124559845373,2.9186747217734417,0.37994736477570157
2,44,1.9,0.4,2,4.226876682195315,2.7015154896914964,0.4642843956025227
2,45,1.4,0.3,2,4.7260062563580165,3.2035835943213646,0.08221921916437812
2,46,1.6,0.2,2,4.582487227389638,3.055766638761359,0.14546477236774533
2,47,1.4,0.2,2,4.765104008961001,3.2400169367716116,0.07720103626247529
2,48,1.5,0.2,2,4.6736177317686876,3.1476514658657644,0.059665735560704994
2,49,1.4,0.2,2,4.765104008961001,3.2400169367716116,0.07720103626247529
2,50,4.7,1.4,1,1.2795691842558936,0.3009433392252372,3.43749327272069
2,51,4.5,1.5,1,1.4047217671991983,0.12571789316613383,3.286633536006106
2,52,4.9,1.5,1,1.0579173829695707,0.5057716764135093,3.6595573502815886
2,53,4.0,1.3,1,1.9424142125131205,0.41872281784725,2.7481557452226024
2,54,4.6,1.5,1,1.315191898442857,0.21402100051661105,3.3792839478208987
2,55,4.5,1.3,1,1.5018007209365032,0.15915023778160362,3.215643015012705
2,56,4.7,1.6,1,1.181158386980819,0.34791246585919666,3.5096951434561947
2,57,3.3,1.0,1,2.703851107367194,1.1788191177918927,1.9866454137565663
2,58,4.6,1.3,1,1.418411749772219,0.23522074352816072,3.3102809548435608
2,59,3.9,1.4,1,1.9963480171065864,0.5005665724197299,2.6973246004142695
2,60,3.5,1.0,1,2.5226541149717248,0.99479370347407,2.173007132984151
2,61,4.2,1.5,1,1.6804117899442914,0.21402100051661188,3.011504607335011
2,62,4.0,1.0,1,2.084758071387711,0.5827645429087597,2.6476329050682232
2,63,4.7,1.4,1,1.2795691842558936,0.3009433392252372,3.43749327272069
2,64,3.6,1.3,1,2.312363947787419,0.8095238095238098,2.38368622096114
2,65,4.4,1.4,1,1.5387780339730066,0.023809523809523947,3.1565107318049783
2,66,4.5,1.5,1,1.4047217671991983,0.12571789316613383,3.286633536006106
2,67,4.1,1.0,1,2.000675561579812,0.5192441742298664,2.7436399180650506
2,68,4.5,1.5,1,1.4047217671991983,0.12571789316613383,3.286633536006106
2,69,3.9,1.1,1,2.1210018030752926,0.595695062687069,2.583246020029838
2,70,4.8,1.8,1,1.0146228163507147,0.5491077074458314,3.6820048886442285
2,71,4.0,1.3,1,1.9424142125131205,0.41872281784725,2.7481557452226024
2,72,4.9,1.5,1,1.0579173829695707,0.5057716764135093,3.6595573502815886
2,73,4.7,1.2,1,1.399806936494978,0.3742869259643539,3.3756125370071723
2,74,4.3,1.3,1,1.6740467234914405,0.15915023778160417,3.027401526061582
2,75,4.4,1.4,1,1.5387780339730066,0.023809523809523947,3.1565107318049783
2,76,4.8,1.4,1,1.1974071086242057,0.40070799021736,3.5318493739116334
2,77,5.0,1.7,1,0.8680515615523715,0.6605158432152264,3.825122220269569
2,78,4.5,1.5,1,1.4047217671991983,0.12571789316613383,3.286633536006106
2,79,3.5,1.0,1,2.5226541149717248,0.99479370347407,2.173007132984151
2,80,3.8,1.1,1,2.2095615316533177,0.6818010030131602,2.4890881864650756
2,81,3.7,1.0,1,2.3445163161634746,0.8182997693215217,2.3616011517612367
2,82,3.9,1.2,1,2.075468035785558,0.5478053513318817,2.6180068754684354
2,83,5.1,1.6,1,0.8373058467973808,0.7218331413146849,3.8817985522177727
2,84,4.5,1.5,1,1.4047217671991983,0.12571789316613383,3.286633536006106
2,85,4.5,1.6,1,1.3646106265752724,0.20259092748745364,3.326072759276321
2,86,4.7,1.5,1,1.2272800072584136,0.30952380952380937,3.4723421490400397
2,87,4.4,1.3,1,1.5871102415770975,0.12380952380952381,3.1213394560668983
2,88,4.1,1.3,1,1.85187997976636,0.32454398497883374,2.8407675019261953
2,89,4.0,1.3,1,1.9424142125131205,0.41872281784725,2.7481557452226024
